MW,Sv,Se,Sp,Si,nAT,nBT,nBM,nDB,nAB,nHM,nHet,totalcharge,nCIR,MCD,NRS,NNRS,D/Dtr05,D/Dtr06,Ges,Hy,NAME,Type
146.22,12.633,24.16,13.489,27.907,24,23,1,1,0,0,4,0,0,0,0,0,0,0,10,3.972,2813,fda
147.14,11.505,16.524,11.438,17.747,16,17,8,2,6,0,3,0,3,0.818,1,0.5,17.166,21.524,11,-0.119,1518,fda
147.15,10.988,19.945,10.869,21.997,19,18,2,2,0,0,5,0,0,0,0,0,0,0,10,2.934,2832,fda
147.23,12.897,25.102,13.87,29.114,25,24,1,1,0,0,4,1,0,0,0,0,0,0,8,0.839,2739,fda
148.17,12.537,19.189,12.955,21.08,19,19,8,2,6,0,2,0,1,0.545,1,1,0,36.108,9,-0.206,945,fda
148.22,13.876,22.629,15.023,25.701,23,23,7,1,6,0,1,0,1,0.545,1,1,0,34.943,9,-0.877,1006,fda
148.22,13.876,22.629,15.023,25.701,23,23,7,1,6,0,1,0,1,0.545,1,1,0,34.943,9,-0.877,1803,fda
149.18,11.316,21.822,11.426,24.784,21,19,2,2,0,0,6,0,0,0,0,0,0,0,9,5.367,2828,fda
149.23,11.789,16.829,12.938,18.664,17,17,8,2,6,1,2,0,1,0.6,1,1,0,31.497,8,-0.768,1547,fda
149.24,11.272,20.251,12.369,22.913,20,19,1,1,0,1,4,0,0,0,0,0,0,0,8,3.032,2665,fda
149.24,11.272,20.251,12.369,22.913,20,19,1,1,0,1,4,0,0,0,0,0,0,0,9,1.936,2816,fda
149.24,11.272,20.251,12.369,22.913,20,19,1,1,0,1,4,0,0,0,0,0,0,0,9,1.936,2838,fda
149.24,11.272,20.251,12.369,22.913,20,19,1,1,0,1,4,0,0,0,0,0,0,0,9,1.936,2881,fda
149.24,11.272,20.251,12.369,22.913,20,19,1,1,0,1,4,0,0,0,0,0,0,0,8,3.032,2894,fda
150.1,9.869,17.615,9.011,18.502,16,15,2,2,0,0,6,0,0,0,0,0,0,0,5,3.03,2131,fda
150.1,9.869,17.615,9.011,18.502,16,15,2,2,0,0,6,0,0,0,0,0,0,0,5,3.03,2449,fda
150.1,9.869,17.615,9.011,18.502,16,15,2,2,0,0,6,0,0,0,0,0,0,0,5,3.03,2457,fda
